id,product_id,title,price,total_sales,monthly_sales,weekly_sales,daily_sales_tag,hot_sales,grabbed_sales,daily_increment,product_url,monitor_date,scrape_time
594,869991827991,沁园新品真1000G净水器大通量母婴直饮反渗透小白鲸双子芯同配,1091.0,,328,,,,,,https://mobile.yangkeduo.com/goods.html?goods_id=869991827991,2026-04-08,2026-04-08 16:19:58
595,841994274812,苏泊尔净热一体机UH01净水器直饮加热一体机RO反渗透过滤器饮水机,1167.0,,284,,,,,,https://mobile.yangkeduo.com/goods.html?goods_id=841994274812,2026-04-08,2026-04-08 16:19:58
596,758048911119,美的净水器家用接近1200G大流速RO反渗透0陈水纯矿双出水母婴直饮,839.0,,376,,,,,,https://mobile.yangkeduo.com/goods.html?goods_id=758048911119,2026-04-08,2026-04-08 16:19:58
597,901812772746,小米米家即热净水器1200G/Q800家用厨下式直饮RO反渗透过滤净水机,1629.0,,,,,,,,https://mobile.yangkeduo.com/goods.html?goods_id=901812772746,2026-04-08,2026-04-08 16:19:58
598,425381521577,海尔净水器家用厨下净水机直饮饮水机速热RO反渗透管线星空PRO套,1912.0,,486,,,,,,https://mobile.yangkeduo.com/goods.html?goods_id=425381521577,2026-04-08,2026-04-08 16:19:58
854,212162612478,海尔家用600G母婴净水器自来水净水机智能灯显龙头反渗透纯水机,789.62,856,,,,,,0,https://mobile.yangkeduo.com/goods.html?goods_id=212162612478,2026-04-09,2026-04-09 10:07:11
1108,326851167288,美的净水器家用双出水大流速 3年长效RO反渗透膜直饮厨下式净水机,809.0,16000,,,,,,0,https://mobile.yangkeduo.com/goods.html?goods_id=326851167288,2026-04-09,2026-04-09 10:57:13
1113,798482186210,云米小白龙800G+升级净水器厨房台下RO反渗透家用过滤母婴直饮,639.0,3639,,,,,,6,https://mobile.yangkeduo.com/goods.html?goods_id=798482186210,2026-04-09,2026-04-09 10:57:20
1114,916452280972,云米(VIOMI) 小海豚900G  家用净水机 净水器 反渗透6年长效 RO膜,749.0,,,,,,29,,https://mobile.yangkeduo.com/goods.html?goods_id=916452280972,2026-04-09,2026-04-09 10:57:20
1115,907059476083,云米净水器滤芯CROSS 3 5IN1复合滤芯RO反渗透600G、800G、1000G,132.0,,,,,,124,,https://mobile.yangkeduo.com/goods.html?goods_id=907059476083,2026-04-09,2026-04-09 10:57:20
1116,862873034610,VIOMI云米 小海豚3新品5年长效RO净水器反渗透纯水机 超滤升级,625.68,,,,,,1183,,https://mobile.yangkeduo.com/goods.html?goods_id=862873034610,2026-04-09,2026-04-09 10:57:20
1118,917032713009,VIOMI云米冷热管线机饮水机壁挂式双出水台式管线机UV杀菌,657.9,872,,,,,,1,https://mobile.yangkeduo.com/goods.html?goods_id=917032713009,2026-04-09,2026-04-09 10:57:20
1119,917031150770,VIOMI云米净水器600G小蓝调厨下式RO反渗透直饮家用6年长效,629.0,,,,,,38,,https://mobile.yangkeduo.com/goods.html?goods_id=917031150770,2026-04-09,2026-04-09 10:57:20
1122,890360751935,云米600G净水器小白龙系列大通量家用一级水效0阻垢剂不含双酚A,538.0,,,,,,20,,https://mobile.yangkeduo.com/goods.html?goods_id=890360751935,2026-04-09,2026-04-09 10:57:20
1123,270574611944,云米净水器家用1200G直饮机RO反渗透泉先净水机大通量SUPER PRO,1338.22,,,,,,112,,https://mobile.yangkeduo.com/goods.html?goods_id=270574611944,2026-04-09,2026-04-09 10:57:20
